Chr	Peak_pos	-log10(FDR-adjusted-pvalue)_Coverage_Genotype	-log10(FDR-adjusted-pvalue)_Coverage_Tissue	-log10(FDR-adjusted-pvalue)_Coverage_Interaction	Feature_type	Gene
chr3R	5299252	0.317859	3.83422	3.36865	promoter-TSS	mtd
chr3R	5300859	0.33819	8.9935	3.7173	exon	Tim17b1
chr3R	5303155	1.06843	8.13541	2.06822	intron	Tim17b1
chr3R	5303950	0.269002	10.0893	1.87071	intron	Tim17b1
chr3R	5304390	0.31015	12.154	1.88924	intron	mtd
chr3R	5306118	0.211453	5.85316	1.33293	intron	mtd
chr3R	5307748	0.550317	11.8913	1.70859	5'UTR	mtd
chr3R	5308005	0.213035	11.2768	1.999	promoter-TSS	mtd
chr3R	5309347	0.380339	6.03245	0.716358	intron	mtd
chr3R	5310830	0.494063	2.49221	0.140562	intron	mtd
chr3R	5315321	0.101168	9.37587	0.773329	intron	mtd
chr3R	5317023	0.784717	1.76928	1.66522	intron	mtd
chr3R	5317931	0.249348	14.0788	2.67293	intron	mtd
chr3R	5319757	0.070227	12.3862	0.90866	intron	mtd
chr3R	5322563	0.0740492	13.8786	0.852837	intron	mtd
chr3R	5323941	0.379961	15.6429	1.49472	promoter-TSS	mtd
chr3R	5324785	0.201366	9.50117	0.644213	promoter-TSS	mtd
chr3R	5326248	0.345847	12.1198	0.87462	intron	mtd
chr3R	5329356	0.0159385	2.62216	3.93697	intron	mtd
chr3R	5329703	0.0615315	5.57441	4.49752	intron	mtd
chr3R	5330541	0.324448	13.208	3.93396	intron	mtd
chr3R	5332116	0.0414176	16.3028	2.92333	intron	mtd
chr3R	5338181	0.00956204	7.2421	14.4291	intron	mtd
chr3R	5343869	0.355026	14.8862	1.5112	intron	mtd
chr3R	5346911	0.518823	17.4824	0.313485	intron	mtd
chr3R	5350320	0.329741	16.9463	1.16415	promoter-TSS	mtd
chr3R	5350638	0.176274	13.9227	1.0375	promoter-TSS	mtd
chr3R	5353039	0.473557	7.48105	1.94881	TTS	CG11999
chr3R	5354942	0.328925	2.46683	1.49074	promoter-TSS	CG1161
chr3R	5358110	0.953047	7.47433	0.168363	promoter-TSS	Prosbeta7
chr3R	5361872	0.571729	18.4988	0.313411	intron	Cerk
chr3R	5363521	0.258107	17.3985	1.33622	intron	Cerk
chr3R	5365045	1.68947	14.2512	0.829532	intron	Cerk
chr3R	5368124	0.584723	7.37568	1.00899	promoter-TSS	Cerk
chr3R	5371866	0.03128	0.500003	0.838825	promoter-TSS	RpII18
chr3R	5374874	0.326454	0.139555	0.802247	promoter-TSS	hd
chr3R	5376897	1.41733	18.5949	0.0451784	TTS	7B2
chr3R	5386001	0.479544	15.4107	1.10798	TTS	CG14668
chr3R	5388206	0.387436	15.6098	2.86479	promoter-TSS	CG14668
chr3R	5388513	0.745446	16.1164	1.50961	promoter-TSS	CG14668
chr3R	5390323	0.428008	13.7531	1.69608	intron	kkv
chr3R	5393160	0.413081	19.8571	0.623042	promoter-TSS	kkv
chr3R	5393693	0.605388	17.3315	1.24819	promoter-TSS	CG1172
chr3R	5394046	0.133077	7.50882	0.243849	5'UTR	CG1172
chr3R	5403016	0.0819219	13.8902	1.32115	intron	CG2663
chr3R	5404224	1.11214	14.4809	0.27694	promoter-TSS	CG2663
chr3R	5406347	1.27136	7.34436	2.28555	TTS	CG2663
chr3R	5412791	1.0289	14.602	0.977566	Intergenic	CG14669
chr3R	5414035	0.0331202	17.0575	1.0918	promoter-TSS	CG14669
chr3R	5414564	0.00868523	17.4875	0.903965	promoter-TSS	CG14669
chr3R	5422341	6.33064	7.76298	3.13519	intron	CG12147
chr3R	5430746	0.135401	14.9839	0.722852	intron	CG12147
chr3R	5432715	0.378627	15.6077	0.161778	intron	CG12147
chr3R	5433662	0.0392462	13.7722	1.42056	intron	CG12147
chr3R	5437691	0.556248	5.14138	0.468751	intron	CG12147
chr3R	5438513	2.79303	5.94372	1.36655	intron	CG12147
chr3R	5438940	2.12845	4.32188	6.24118	intron	CG12147
chr3R	5444988	0.0967593	13.0964	1.71529	intron	CG12147
chr3R	5458539	0.527415	6.85347	0.648134	TTS	PEK
chr3R	5463538	0.954387	10.5747	3.21953	promoter-TSS	PEK
chr3R	5464610	0.225448	8.83157	0.690029	promoter-TSS	PEK
chr3R	5467343	0.242483	0.850141	2.56081	promoter-TSS	RpL35A
chr3R	5470789	0.727923	2.41216	0.728543	promoter-TSS	Snr1
chr3R	5474674	0.0630279	0.900423	0.819118	promoter-TSS	HDAC3
chr3R	5483842	0.189186	5.55745	0.571498	promoter-TSS	ksr
chr3R	5485653	0.247848	3.27871	0.303578	TTS	CG31550
chr3R	5502820	0.803699	7.34639	1.40248	promoter-TSS	NKCC
chr3R	5504096	0.390049	13.0302	3.06177	Intergenic	NKCC
chr3R	5507297	0.829559	17.2086	0.280361	Intergenic	NKCC
chr3R	5508287	0.431232	18.0798	0.337113	TTS	NKCC
chr3R	5516313	0.776915	9.97296	0.195793	promoter-TSS	Itp-r83A
chr3R	5517351	0.747649	17.1912	1.99747	5'UTR	Itp-r83A
chr3R	5520806	0.183736	16.5305	0.299874	intron	CG43845
chr3R	5523211	0.371466	13.513	2.36885	promoter-TSS	CG43845
chr3R	5523494	0.122556	5.05026	4.26508	promoter-TSS	Nmdar1
chr3R	5525028	0.307799	15.1361	0.954668	intron	Nmdar1
chr3R	5547622	0.462684	6.80772	0.279787	TTS	CG2519
chr3R	5550577	0.258226	7.73415	0.695903	promoter-TSS	mia
chr3R	5554457	0.65153	9.30839	0.426231	promoter-TSS	Pcmt
chr3R	5554902	0.334092	12.1133	0.374646	promoter-TSS	Snm1
chr3R	5563643	0.524531	6.07692	0.186922	promoter-TSS	Pi4KIIalpha
chr3R	5564973	0.407717	2.58774	1.0764	promoter-TSS	CG12746
chr3R	5568770	0.661309	3.82057	1.38274	promoter-TSS	Rheb
chr3R	5571078	1.40629	8.63015	1.159	promoter-TSS	CRMP
chr3R	5573467	0.23689	10.8769	0.274424	intron	CRMP
chr3R	5573978	0.217391	12.6479	0.690309	intron	CRMP
chr3R	5575924	0.34473	11.2409	0.628263	exon	CRMP
chr3R	5588223	0.504229	1.55188	0.44123	promoter-TSS	CG2926
chr3R	5591945	0.294418	1.25526	0.665084	promoter-TSS	Vha26
chr3R	5595314	0.50115	13.9736	1.00222	TTS	snoRNA:Psi28S-3385b
chr3R	5600448	0.430767	3.86219	1.54866	promoter-TSS	kra
chr3R	5600908	0.479813	3.90356	1.02324	promoter-TSS	kra
chr3R	5606662	0.477017	8.79715	1.53536	promoter-TSS	asl
chr3R	5611663	0.752187	16.6585	0.840579	intron	Rga
chr3R	5612380	0.502085	10.0966	0.74721	promoter-TSS	Rga
chr3R	5612760	0.477137	5.08728	1.38099	promoter-TSS	Rga
chr3R	5617743	1.43078	8.63347	0.562653	intron	asRNA:CR46135
chr3R	5620139	0.376465	8.16832	2.42066	intron	CG2911
chr3R	5620883	0.672607	8.26614	1.23662	intron	CG2911
chr3R	5623384	0.486611	5.35492	0.611178	promoter-TSS	CG2911
chr3R	5624154	0.652268	2.5274	1.50899	promoter-TSS	CG2911
chr3R	5625853	0.198135	10.0438	0.685598	TTS	snoRNA:Me28S-U2134a
chr3R	5626329	0.194368	10.5907	1.12435	TTS	snoRNA:Me28S-U2134a
chr3R	5626839	0.178346	12.0239	0.771171	TTS	CG31551
chr3R	5630258	0.747179	15.1129	1.69832	exon	CG31549
chr3R	5631978	7.13624	8.67443	0.609528	promoter-TSS	CG31549
chr3R	5632452	2.29829	5.84249	1.7406	TTS	CG31549
chr3R	5633561	0.543433	8.38461	1.97664	promoter-TSS	CG12171
chr3R	5637150	0.451587	9.20868	1.86604	promoter-TSS	CG12170
chr3R	5638365	0.572408	6.77162	0.531336	TTS	CG12170
chr3R	5638639	0.338016	6.6851	0.735741	TTS	CG12170
chr3R	5639003	1.36812	7.23091	0.454816	TTS	CG12170
chr3R	5646515	0.294788	11.9096	0.552126	intron	MTA1-like
chr3R	5648552	0.439896	4.68628	0.753667	promoter-TSS	MTA1-like
chr3R	5654938	0.503937	5.51596	0.0940869	promoter-TSS	elm
chr3R	5659666	0.802801	5.6994	0.720795	promoter-TSS	asRNA:CR44093
chr3R	5669483	0.516037	0.127171	0.356369	promoter-TSS	Xe7
chr3R	5670795	0.336257	12.6114	1.36655	intron	Atg17
chr3R	5672088	1.1597	12.9801	1.17533	intron	Atg17
chr3R	5672723	0.412372	14.3484	1.65523	5'UTR	Atg17
chr3R	5680444	0.696293	8.79137	0.925397	TTS	Rab23
chr3R	5683506	1.80274	14.8868	0.238864	intron	Rab23
chr3R	5684839	0.728214	17.2502	1.55743	intron	Rab23
chr3R	5685634	0.256063	14.2082	2.90531	promoter-TSS	Rab23
chr3R	5686179	0.0927199	13.056	1.93823	promoter-TSS	plx
chr3R	5691384	0.144523	13.6893	1.98469	TTS	CG2104
chr3R	5694624	1.59799	13.4073	2.92333	intron	CG2104
chr3R	5696521	0.206406	16.132	0.783582	intron	CG2104
chr3R	5699926	0.210737	14.8889	0.406393	intron	plx
chr3R	5701426	0.578334	13.7151	1.21178	intron	plx
chr3R	5702174	0.545535	15.819	0.408226	promoter-TSS	plx
chr3R	5703079	0.501295	10.9589	0.368081	intron	plx
chr3R	5703737	0.405895	2.46814	2.34563	intron	plx
chr3R	5705414	0.576592	13.2564	2.47809	intron	plx
chr3R	5705620	4.40213	11.6579	2.35797	intron	plx
chr3R	5705933	1.52256	9.49783	2.31191	promoter-TSS	plx
chr3R	5711654	2.01902	11.5158	0.468506	exon	plx
chr3R	5716894	0.849561	10.1015	2.64353	promoter-TSS	cas
chr3R	5731256	1.04352	17.1375	0.373831	Intergenic	CG1239
chr3R	5733424	1.90076	7.61197	0.427039	promoter-TSS	CG1239
chr3R	5736553	7.32565	5.0007	1.15876	promoter-TSS	CG1236
chr3R	5742582	0.555335	0.742123	0.620087	promoter-TSS	Madm
chr3R	5747739	2.35718	7.78291	4.09751	TTS	Madm
chr3R	5754856	8.82713	0.0739513	0.291374	promoter-TSS	CG2091
chr3R	5758882	0.466954	8.01924	0.359122	TTS	Sec8
chr3R	5770923	0.41376	14.9964	1.72836	intron	CG2082
chr3R	5772381	0.88685	16.4766	2.47102	promoter-TSS	CG2082
chr3R	5772665	2.32765	12.1824	2.5411	promoter-TSS	CG2082
chr3R	5777710	0.0541181	10.4654	2.0435	promoter-TSS	CG2082
chr3R	5779143	0.223352	1.635	2.43959	promoter-TSS	jagn
chr3R	5781876	0.376648	17.305	1.01702	promoter-TSS	kat-60L1
chr3R	5782244	0.485709	14.3205	1.03316	promoter-TSS	kat-60L1
chr3R	5789260	0.157241	1.18641	0.718724	promoter-TSS	Hat1
chr3R	5791741	0.848391	4.01211	0.243878	promoter-TSS	CG1218
chr3R	5794525	1.05474	6.07437	0.245569	promoter-TSS	CG10979
chr3R	5802297	0.0918807	16.312	1.0333	promoter-TSS	CG11000
chr3R	5803953	0.143341	19.044	0.335766	intron	CG11000
chr3R	5804197	0.0722866	18.2399	0.530913	intron	CG11000
chr3R	5812693	0.601612	8.29259	0.99785	promoter-TSS	CG42675
chr3R	5813477	6.21388	1.81448	3.25635	promoter-TSS	CG42675
chr3R	5814818	1.41202	4.77523	3.23945	5'UTR	CG42675
chr3R	5815061	1.57437	7.79352	0.496492	5'UTR	CG42675
chr3R	5821348	0.323482	1.01679	0.582124	promoter-TSS	Hpr1
chr3R	5823206	7.37438	8.18261	1.96293	TTS	CG46303
chr3R	5824662	0.300185	4.38979	0.528149	promoter-TSS	dgrn
chr3R	5831547	0.821102	5.60806	2.2603	promoter-TSS	CG1208
chr3R	5834115	6.53441	4.18491	4.56325	promoter-TSS	CG1208
chr3R	5841112	0.568193	8.4338	0.547216	promoter-TSS	CG1213
chr3R	5843557	1.05269	6.37443	1.48732	promoter-TSS	CG1213
chr3R	5844483	0.18229	6.38603	1.6456	intron	CG1213
chr3R	5846858	2.62121	7.08989	0.778062	promoter-TSS	CG14676
chr3R	5848490	2.90229	6.09784	0.577862	TTS	CG14676
chr3R	5848942	5.09666	5.35872	0.307709	TTS	CG14676
chr3R	5849404	4.04973	3.16794	1.07982	TTS	CG14676
chr3R	5856427	0.0562619	3.27413	1.30431	promoter-TSS	disp
chr3R	5861473	5.31738	8.64402	3.69015	promoter-TSS	CG2017
chr3R	5862211	2.76073	7.70462	1.86809	promoter-TSS	CG2017
chr3R	5868008	0.380746	13.9593	0.171612	intron	CG2017
chr3R	5868847	0.13536	14.0088	0.295652	intron	CG2017
chr3R	5871235	0.531188	7.3079	0.854533	intron	CG2017
chr3R	5877320	0.689412	6.02653	1.85464	exon	lncRNA:CR45761
chr3R	5877665	0.717846	1.98255	1.43104	exon	lncRNA:CR45761
chr3R	5877920	0.362962	4.16149	0.521747	exon	lncRNA:CR45761
chr3R	5882830	0.0281143	10.6192	0.53461	intron	lncRNA:CR45761
chr3R	5891602	0.217776	13.8096	1.34498	non-coding	lncRNA:CR45761
chr3R	5891936	0.444299	15.1387	0.14854	TTS	lncRNA:CR45761
chr3R	5896036	0.0856298	9.22758	4.29803	intron	lncRNA:CR45761
chr3R	5896734	0.0883987	10.3258	1.91956	intron	lncRNA:CR45761
chr3R	5897957	0.36457	14.9673	0.375313	intron	lncRNA:CR45761
chr3R	5900321	0.699047	10.7278	0.74534	intron	lncRNA:CR45761
chr3R	5905891	0.822579	13.0263	2.26483	intron	lncRNA:CR45762
chr3R	5906149	2.84169	9.81354	7.57379	intron	lncRNA:CR45762
chr3R	5908245	0.617406	13.3151	4.37256	intron	lncRNA:CR45762
chr3R	5908926	1.03919	15.2606	2.5902	intron	lncRNA:CR45762
chr3R	5916940	0.111401	13.7458	0.701315	intron	lncRNA:CR45762
chr3R	5926315	0.385922	12.5129	0.476342	intron	lncRNA:CR45762
chr3R	5927401	0.791057	11.693	0.38842	intron	lncRNA:CR45762
chr3R	5928044	1.03557	9.4558	0.416026	intron	lncRNA:CR45762
chr3R	5929228	0.258924	14.723	0.354419	intron	lncRNA:CR45762
chr3R	5933254	0.386582	11.1623	0.783443	intron	lncRNA:CR45762
chr3R	5938239	0.511615	14.8884	0.571139	intron	side-III
chr3R	5940906	0.485482	12.062	2.167	intron	side-III
chr3R	5941498	1.64985	12.4675	2.0922	intron	side-III
chr3R	5941993	2.1487	14.5057	0.652337	intron	side-III
chr3R	5944624	0.282542	14.0077	1.15254	intron	side-III
chr3R	5945441	0.436306	12.9104	0.364839	intron	side-III
chr3R	5946728	0.227506	16.5998	0.10626	intron	side-III
chr3R	5950501	0.0511774	12.41	1.52746	intron	side-III
chr3R	5952377	0.244216	11.8215	0.97568	intron	side-III
chr3R	5953513	0.0353985	15.7334	0.343791	intron	side-III
chr3R	5958742	0.783751	6.23418	2.62357	intron	side-III
chr3R	5959120	0.49436	10.7826	3.79177	5'UTR	side-III
chr3R	5959936	0.533249	17.8236	1.0064	promoter-TSS	side-III
chr3R	5973465	0.0620705	15.7853	0.803139	intron	Obp83a
chr3R	5975002	0.619755	15.0581	0.834888	promoter-TSS	Obp83a
chr3R	5979827	0.305927	12.6872	0.329331	Intergenic	Obp83b
chr3R	5981610	0.0778871	8.59105	1.32726	Intergenic	Obp83b
chr3R	5983207	0.356199	11.6538	0.527747	Intergenic	lncRNA:CR44927
chr3R	5983465	0.311041	12.8507	0.337979	Intergenic	lncRNA:CR44927
chr3R	5987685	0.0124537	9.52813	9.34956	Intergenic	lncRNA:CR44927
chr3R	5990165	0.329284	13.975	1.10871	non-coding	lncRNA:CR44927
chr3R	5994052	0.0145592	15.1331	1.92436	TTS	lncRNA:CR44928
chr3R	5994311	0.0112135	16.5983	0.615417	TTS	lncRNA:CR44928
chr3R	5995252	0.177308	10.5453	1.93325	non-coding	lncRNA:CR44928
chr3R	5997567	0.444895	9.22824	1.66227	Intergenic	lncRNA:CR44928
chr3R	5998143	2.70483	13.7065	0.171816	Intergenic	lncRNA:CR44928
chr3R	5998434	4.21913	12.6012	0.556437	Intergenic	lncRNA:CR44928
chr3R	6000129	1.1838	14.7045	0.349323	TTS	lncRNA:CR44928
chr3R	6003236	0.720071	12.362	0.722881	3'UTR	Rm62
chr3R	6007734	0.254365	9.47321	1.42398	promoter-TSS	Rm62
chr3R	6008416	0.755164	11.171	0.207589	promoter-TSS	Rm62
chr3R	6008884	0.466345	9.5214	1.58348	promoter-TSS	Rm62
chr3R	6009760	0.608505	15.3851	1.50762	TTS	Rm62
chr3R	6013799	0.602551	9.01012	3.37226	Intergenic	CG10280
chr3R	6015322	0.141838	8.43222	4.17793	Intergenic	CG10280
chr3R	6023090	6.50213	6.27598	1.70604	Intergenic	CG11459
chr3R	6024726	0.631944	6.34495	10.8603	Intergenic	CG11459
chr3R	6029354	0.111527	3.91861	2.93594	Intergenic	CG11459
chr3R	6034376	0.0440453	7.03237	1.87403	Intergenic	lncRNA:CR46221
chr3R	6034662	0.311502	10.2252	1.27844	Intergenic	lncRNA:CR46221
chr3R	6035522	0.412372	13.012	0.330208	Intergenic	lncRNA:CR46221
chr3R	6035739	0.424877	12.1231	0.455787	Intergenic	lncRNA:CR46221
chr3R	6038516	0.451162	12.5722	0.314737	promoter-TSS	lncRNA:CR46221
chr3R	6041192	0.264462	10.0687	1.5088	Intergenic	lncRNA:CR46221
chr3R	6041401	0.121101	10.6779	2.4189	Intergenic	lncRNA:CR46221
chr3R	6042513	0.39188	10.2502	0.805351	Intergenic	lncRNA:CR46221
chr3R	6048348	0.192285	6.38913	6.0209	Intergenic	lncRNA:CR44921
chr3R	6050148	0.173259	8.03003	1.7558	Intergenic	lncRNA:CR44921
chr3R	6050611	1.06372	12.5437	0.351105	Intergenic	lncRNA:CR44921
chr3R	6050980	0.493801	10.8764	1.49317	Intergenic	lncRNA:CR44921
chr3R	6051346	0.493286	8.70062	1.5794	Intergenic	lncRNA:CR44921
chr3R	6051690	0.766983	3.75463	1.63421	Intergenic	lncRNA:CR44921
chr3R	6061295	0.221939	7.78327	9.8827	Intergenic	CG15580
chr3R	6065407	0.202499	13.2874	1.47088	Intergenic	CG15580
chr3R	6066625	0.603049	8.08817	1.3422	Intergenic	CG15580
chr3R	6067136	0.566465	6.25996	1.79767	Intergenic	CG15580
chr3R	6068816	0.509425	10.4253	0.918508	Intergenic	Or83c
chr3R	6071036	0.224523	8.39172	0.598735	Intergenic	Or83c
chr3R	6072686	0.431717	5.79547	3.71057	Intergenic	Or83c
chr3R	6079360	0.707366	13.5391	0.275268	Intergenic	Or83c
chr3R	6079652	0.713368	14.2971	0.196931	Intergenic	Or83c
chr3R	6082424	0.146092	16.6918	0.890251	Intergenic	Or83c
chr3R	6087897	0.275055	10.2412	0.795858	TTS	Or83c
chr3R	6092085	0.904581	7.37454	0.299131	TTS	Gasp
chr3R	6095460	0.394355	14.1676	1.39108	intron	Gasp
chr3R	6095769	0.240989	12.5414	1.02153	intron	Gasp
chr3R	6096812	0.298593	3.79897	1.92266	intron	Gasp
chr3R	6097234	0.0639099	1.28924	1.79272	intron	Gasp
chr3R	6097471	0.357412	1.55717	1.67019	intron	Gasp
chr3R	6098430	0.205749	4.38073	0.968225	intron	Gasp
chr3R	6100986	0.188302	16.5732	0.430017	promoter-TSS	Gasp
chr3R	6102638	0.031867	8.66327	2.86015	intron	Gasp
chr3R	6102842	0.10923	8.99928	4.03281	intron	Gasp
chr3R	6106224	0.213056	16.6947	1.05162	Intergenic	lncRNA:CR44929
chr3R	6106704	0.237289	16.7621	1.46404	Intergenic	Obp83cd
chr3R	6107830	0.285763	10.5342	0.300896	promoter-TSS	Obp83cd
chr3R	6112577	0.582025	16.3601	1.37192	promoter-TSS	Obp83g
chr3R	6112805	0.547544	17.1541	0.890029	promoter-TSS	Obp83g
chr3R	6115797	0.076829	10.7954	0.847462	Intergenic	Obp83g
chr3R	6116558	0.285499	7.76859	1.03344	Intergenic	Obp83g
chr3R	6117053	0.180746	4.77729	1.76682	Intergenic	Obp83g
chr3R	6118268	0.246043	11.662	2.60652	Intergenic	Vha14-2
chr3R	6119756	0.236312	5.11823	0.238507	Intergenic	Vha14-2
chr3R	6120852	0.0615315	11.0677	1.06196	Intergenic	Vha14-2
chr3R	6124312	1.1925	12.0862	6.54259	TTS	Vha14-2
chr3R	6126766	0.245794	4.94787	2.53699	TTS	lncRNA:CR43486
chr3R	6129630	0.100096	9.82552	1.71613	Intergenic	lncRNA:CR43487
chr3R	6132577	0.343509	14.5039	0.421333	Intergenic	lncRNA:CR43487
chr3R	6137030	0.0834334	7.01229	5.62046	Intergenic	lncRNA:CR43487
chr3R	6141261	1.97697	16.633	0.263319	Intergenic	lncRNA:CR43487
chr3R	6141922	1.3234	12.808	1.59981	Intergenic	lncRNA:CR43487
chr3R	6149847	0.523772	16.4096	0.57065	TTS	CG31559
chr3R	6151242	0.319229	5.97842	0.919732	intron	CG31559
chr3R	6151943	0.90102	12.1006	1.10235	intron	CG31559
chr3R	6155324	0.471546	11.1575	2.06829	intron	CG31559
chr3R	6156681	0.651287	14.5632	1.21635	exon	CG31559
chr3R	6157304	0.512513	17.1279	0.652668	promoter-TSS	CG31559
chr3R	6168743	0.190853	8.82335	1.21393	exon	CG1077
chr3R	6169318	0.45426	9.97634	1.43728	exon	CG1077
chr3R	6170976	0.899258	0.542305	3.05997	TTS	Osi1
chr3R	6177276	6.09464	1.80003	3.54031	Intergenic	Osi1
chr3R	6180884	6.64031	8.1007	0.626158	Intergenic	NPFR
chr3R	6181240	6.05962	7.04067	0.808355	Intergenic	NPFR
chr3R	6181902	5.65019	3.48877	3.47024	Intergenic	NPFR
chr3R	6182849	0.0100169	8.69706	5.03504	Intergenic	NPFR
chr3R	6183525	0.512018	6.89083	1.25748	Intergenic	NPFR
chr3R	6187342	0.691209	16.7726	0.984834	promoter-TSS	NPFR
chr3R	6190794	0.501295	11.518	1.20115	intron	NPFR
chr3R	6196602	1.22748	4.32743	1.45905	Intergenic	Osi24
chr3R	6197088	1.04052	8.84765	1.60305	Intergenic	Osi24
chr3R	6198846	0.428628	17.3778	2.1166	promoter-TSS	Osi24
chr3R	6200413	0.404806	9.51009	0.542477	intron	Osi24
chr3R	6200758	0.699955	9.38662	1.37445	intron	Osi24
chr3R	6201485	3.70697	8.17814	1.97309	intron	Osi24
chr3R	6203193	1.39966	13.6499	0.322639	intron	Osi24
chr3R	6206194	4.22267	9.42012	1.3662	exon	Osi2
chr3R	6206566	4.52527	9.3494	1.39381	intron	Osi2
chr3R	6207202	0.962121	8.2393	1.40721	3'UTR	Osi2
chr3R	6208703	0.431464	5.82907	0.911246	promoter-TSS	Osi2
chr3R	6209044	0.382112	9.66105	1.11341	promoter-TSS	Osi2
chr3R	6210402	0.67189	12.863	2.77222	promoter-TSS	Osi2
chr3R	6210726	0.456537	13.585	4.41112	promoter-TSS	Osi2
chr3R	6215667	1.18946	15.8474	0.1978	promoter-TSS	Osi3
chr3R	6222008	0.358838	9.03753	0.944557	promoter-TSS	Osi4
chr3R	6222394	0.406164	13.7271	1.01897	promoter-TSS	Osi4
chr3R	6222681	0.246269	15.1166	0.534934	promoter-TSS	Osi4
chr3R	6223433	0.552441	13.1749	0.867411	Intergenic	Osi4
chr3R	6225307	0.0291688	10.9245	0.124286	Intergenic	Osi5
chr3R	6229742	0.859323	13.2731	0.983805	TTS	Osi5
chr3R	6234354	0.990855	16.8176	0.549648	promoter-TSS	Osi6
chr3R	6239201	4.07728	13.032	0.690669	Intergenic	Osi6
chr3R	6239868	0.695726	11.0091	1.33321	Intergenic	Osi6
chr3R	6241294	0.708708	10.6879	0.657031	Intergenic	Osi6
chr3R	6241739	0.450327	9.94849	0.830498	Intergenic	Osi6
chr3R	6244162	0.18623	12.7088	0.912064	Intergenic	Osi7
chr3R	6248881	0.721215	13.063	0.687699	promoter-TSS	Osi7
chr3R	6252293	0.240551	5.48401	1.26717	TTS	Osi8
chr3R	6253055	0.251338	14.6739	1.14145	Intergenic	Osi8
chr3R	6253285	0.492374	12.0574	1.40578	Intergenic	Osi8
chr3R	6254700	0.0689617	17.2062	0.0382445	promoter-TSS	Osi8
chr3R	6256992	0.0237837	8.0085	2.54096	TTS	Osi8
chr3R	6257404	0.18505	9.22313	1.48905	TTS	Osi8
chr3R	6258578	0.119974	8.91638	1.26329	Intergenic	Osi9
chr3R	6259997	1.00111	9.55813	1.46055	promoter-TSS	Osi9
chr3R	6263211	0.331393	15.6559	0.166524	promoter-TSS	Osi10
chr3R	6270262	0.187058	8.96853	1.35617	Intergenic	Osi11
chr3R	6272853	0.032593	6.26458	0.776027	Intergenic	Osi11
chr3R	6275845	1.29537	6.84744	1.92334	Intergenic	Osi12
chr3R	6277754	0.60719	10.9299	1.13081	promoter-TSS	Osi12
chr3R	6279834	0.180733	1.01897	3.06346	intron	Osi12
chr3R	6286715	0.701279	9.30456	1.795	Intergenic	CG15594
chr3R	6290398	0.129799	11.4479	0.708305	TTS	Osi13
chr3R	6295279	0.037093	11.3408	0.562591	Intergenic	Osi13
chr3R	6296190	0.115589	7.06445	0.957614	Intergenic	Osi14
chr3R	6297459	0.319134	6.49777	0.957269	Intergenic	Osi14
chr3R	6298874	0.0682432	11.5127	3.31179	promoter-TSS	Osi14
chr3R	6301563	0.394925	10.961	1.19222	promoter-TSS	Osi15
chr3R	6302710	0.137207	11.513	0.307044	intron	Osi15
chr3R	6311928	0.635251	12.9303	0.439422	TTS	Osi17
chr3R	6315268	0.414491	10.6491	1.79671	promoter-TSS	Osi17
chr3R	6318189	0.613517	14.6031	0.0225419	exon	Osi17
chr3R	6321155	0.469909	14.6298	0.238213	intron	Osi17
chr3R	6321883	0.177977	14.0395	0.17892	exon	Osi17
chr3R	6322853	0.135116	11.8817	1.20959	intron	Osi18
chr3R	6323088	0.182401	9.07841	1.39525	intron	Osi18
chr3R	6324220	0.216237	8.23591	1.24457	intron	Osi18
chr3R	6335313	1.11229	8.55922	0.257598	promoter-TSS	Osi19
chr3R	6339524	0.0355888	5.82436	1.07873	promoter-TSS	Osi20
chr3R	6343849	0.353698	17.3315	1.3004	promoter-TSS	CG17919
chr3R	6345980	0.256823	6.50847	1.26688	promoter-TSS	SmD2
chr3R	6351263	0.243006	6.04132	1.00111	TTS	Pak
chr3R	6353117	0.273776	9.52639	2.26645	promoter-TSS	Pak
chr3R	6353482	1.34154	6.73882	1.43083	promoter-TSS	Pak
chr3R	6368389	0.20356	2.90641	0.960543	promoter-TSS	CG42724
chr3R	6368678	0.137779	2.11551	0.630087	promoter-TSS	CG10286
chr3R	6373876	0.852041	9.76121	1.62436	promoter-TSS	CRAT
chr3R	6380353	0.227648	2.73409	0.8648	promoter-TSS	CG1024
chr3R	6383234	0.601715	7.79853	0.122802	TTS	godzilla
chr3R	6384226	1.03744	15.3654	0.142404	promoter-TSS	godzilla
chr3R	6388856	0.329204	9.51009	0.804726	TTS	godzilla
chr3R	6390060	0.0402267	9.02388	1.46174	exon	godzilla
chr3R	6391793	0.209995	5.44176	0.464353	exon	godzilla
chr3R	6393157	0.0422275	4.39181	1.65956	intron	godzilla
chr3R	6395480	0.353983	4.63099	0.664081	intron	Dmtn
chr3R	6395720	0.440231	5.24379	1.38015	intron	Dmtn
chr3R	6396429	4.71977	5.7008	0.62951	intron	Dmtn
chr3R	6396806	10.7258	7.08541	1.20177	intron	Dmtn
chr3R	6397538	0.491103	11.83	0.912126	intron	Dmtn
chr3R	6401331	0.178511	8.52359	9.14991	intron	Dmtn
chr3R	6405743	0.259629	2.9286	1.21571	5'UTR	Dmtn
chr3R	6406161	0.300127	0.22973	4.48096	promoter-TSS	Dmtn
chr3R	6406604	0.274431	0.283976	5.08311	promoter-TSS	gpp
chr3R	6407120	0.471535	5.76675	0.407526	5'UTR	gpp
