Chr Peak_pos -log10(FDR-adjusted-pvalue)_Coverage_Genotype -log10(FDR-adjusted-pvalue)_Coverage_Tissue -log10(FDR-adjusted-pvalue)_Coverage_Interaction Feautre_type Gene
chr3R 5091488 0.293969 19.6294 2.23258 Intergenic corto
chr3R 5093781 0.133904 16.8442 1.42784 Intergenic corto
chr3R 5095493 0.291291 10.9822 2.08173 Intergenic corto
chr3R 5095796 0.371942 10.9292 1.96405 Intergenic corto
chr3R 5096128 0.342901 13.8152 1.53182 Intergenic corto
chr3R 5097388 0.709418 20.2341 0.475294 Intergenic corto
chr3R 5098641 0.317631 15.6245 1.05795 Intergenic corto
chr3R 5100902 0.863048 19.5943 0.688048 Intergenic CG43131
chr3R 5102619 1.01635 8.98574 0.48268 Intergenic CG43131
chr3R 5103602 0.395861 13.9408 3.27015 Intergenic CG43131
chr3R 5104477 0.176016 15.5023 1.35919 Intergenic CG43131
chr3R 5109961 0.853217 18.137 0.582878 Intergenic CG43131
chr3R 5110999 0.475258 6.34955 4.10095 promoter-TSS CG43131
chr3R 5111785 0.856871 12.2873 5.13126 Intergenic CG43131
chr3R 5112178 0.435055 9.49808 1.05375 Intergenic CG43131
chr3R 5112626 0.73033 14.804 1.59117 Intergenic CG43131
chr3R 5113265 0.705958 19.1689 1.12775 Intergenic CG43131
chr3R 5116928 0.10134 13.194 3.97916 Intergenic CG43131
chr3R 5118662 0.309877 18.844 0.494629 Intergenic CG43131
chr3R 5119055 0.325474 14.8856 1.63364 Intergenic CG12007
chr3R 5120637 0.105493 18.1179 0.532555 Intergenic CG12007
chr3R 5121564 0.0444683 17.5555 1.87638 Intergenic CG12007
chr3R 5123518 0.178315 16.269 2.10993 Intergenic CG12007
chr3R 5127240 0.549563 3.42574 1.44285 Intergenic CG12007
chr3R 5127763 0.443459 1.20373 1.04127 promoter-TSS CG12007
chr3R 5128156 0.1015 11.7373 0.298403 promoter-TSS CG12007
chr3R 5130588 0.623936 7.99361 1.26482 promoter-TSS CG12007
chr3R 5136053 0.850245 12.725 2.06954 TTS CG12007
chr3R 5140402 0.284348 18.1325 0.0543806 Intergenic CG12589
chr3R 5150768 0.233061 13.8702 5.86876 Intergenic CG12589
chr3R 5157174 0.274407 7.73935 1.85531 promoter-TSS dpr16
chr3R 5157485 0.144687 6.3693 4.36929 intron CG12590
chr3R 5157748 0.1651 6.67349 2.2741 intron CG12590
chr3R 5158409 0.149173 9.62067 4.05208 intron CG12590
chr3R 5167457 0.0569486 10.7589 0.788077 intron CG12590
chr3R 5168307 1.43001 8.26413 0.786682 intron dpr16
chr3R 5170729 1.4866 9.37016 0.170315 intron dpr16
chr3R 5171745 0.439393 8.35422 0.306248 TTS dpr16
chr3R 5172203 0.791964 14.0206 0.171399 TTS dpr16
chr3R 5176018 0.0995345 12.2324 0.480462 TTS dpr16
chr3R 5177690 0.264045 11.5508 0.267441 exon dpr16
chr3R 5179034 0.46265 8.15858 0.744312 TTS dpr16
chr3R 5180989 0.0460024 10.4659 0.598779 exon dpr16
chr3R 5185447 0.381315 12.9712 0.312074 intron snRNA:U4atac
chr3R 5186182 0.630012 10.9167 1.37291 exon snRNA:U4atac
chr3R 5188312 1.00644 13.2732 0.366874 intron snRNA:U4atac
chr3R 5189132 0.716557 9.14612 1.11633 intron snRNA:U4atac
chr3R 5189363 0.32335 8.253 1.23015 intron snRNA:U4atac
chr3R 5190347 0.395046 17.769 0.478565 intron snRNA:U4atac
chr3R 5193502 2.02599 20.421 0.241363 intron snRNA:U4atac
chr3R 5193766 1.93879 16.6546 1.1497 intron snRNA:U4atac
chr3R 5198525 0.375669 18.7956 1.94874 intron snRNA:U4atac
chr3R 5200029 0.452287 18.0129 1.09493 promoter-TSS cno
chr3R 5200339 0.825834 16.2329 0.628849 intron cno
chr3R 5200799 0.993491 14.7601 1.04814 intron cno
chr3R 5201074 0.859136 3.27136 0.576336 intron cno
chr3R 5201575 0.845229 12.3708 0.119652 intron cno
chr3R 5205680 0.48901 3.89385 1.38081 intron cno
chr3R 5207482 0.786728 16.504 0.0945757 intron cno
chr3R 5208506 0.328048 21.0289 0.0229963 intron cno
chr3R 5213574 2.54148 21.4655 0.509219 intron cno
chr3R 5214411 0.50929 17.8408 2.19075 intron cno
chr3R 5216237 0.699813 24.7367 0.27844 intron cno
chr3R 5217301 0.769785 17.6015 2.22727 intron cno
chr3R 5219709 0.605583 5.686 1.01158 TTS cno
chr3R 5223314 0.813789 12.5085 1.07567 promoter-TSS CG1116
chr3R 5226234 0.283291 1.42917 1.0593 promoter-TSS Sccpdh1
chr3R 5232349 0.714984 3.89431 0.556416 promoter-TSS Vps37B
chr3R 5241282 0.304063 7.51569 0.429644 promoter-TSS Kat60
chr3R 5242334 0.0543568 8.63795 1.04658 promoter-TSS CG33293
chr3R 5242884 0.256909 12.3407 1.81887 TTS CG33293
chr3R 5245359 0.223365 13.1448 2.66583 TTS CG33293
chr3R 5246358 0.0587272 14.4501 0.528247 intron CG33293
chr3R 5247070 1.14044 22.606 0.0517796 intron asRNA:CR44019
chr3R 5247982 0.130387 8.53649 0.479045 intron asRNA:CR44019
chr3R 5248274 0.877363 11.9136 0.186117 intron asRNA:CR44019
chr3R 5251503 0.730336 2.32176 0.586674 intron asRNA:CR44019
chr3R 5256951 0.533436 0.196687 1.01137 promoter-TSS asRNA:CR44019
chr3R 5262185 0.472992 19.0731 0.309808 promoter-TSS Hph
chr3R 5264572 0.105018 12.3786 2.59188 intron Tim17a2
chr3R 5271136 7.86797 8.30267 3.84507 promoter-TSS lncRNA:CR45793
chr3R 5272726 0.199898 3.67086 1.5281 3'-UTR
chr3R 5277091 0.652025 7.67012 0.061376 TTS CG31538
chr3R 5279961 0.101148 14.9287 1.84018 exon CG31538
chr3R 5281264 0.317073 19.8085 1.58093 promoter-TSS mtd
chr3R 5283283 0.377762 4.39456 2.66496 promoter-TSS mtd
chr3R 5283616 0.635447 3.76976 1.45573 promoter-TSS mtd
chr3R 5289155 0.0372835 11.6367 1.20889 promoter-TSS mtd
chr3R 5290586 0.238887 10.8567 0.306556 intron mtd
chr3R 5297458 0.267439 19.0666 0.840218 intron mtd
chr3R 5298720 0.802849 13.4799 0.972227 promoter-TSS mtd
chr3R 5299252 0.293719 4.83269 3.51153 promoter-TSS mtd
chr3R 5300859 0.393259 10.7553 2.40088 promoter-TSS mtd
chr3R 5303155 1.39912 9.76073 1.44427 exon Tim17b1
chr3R 5303950 0.262736 11.9133 1.37757 intron Tim17b1
chr3R 5304390 0.436206 14.3125 2.2015 intron Tim17b1
chr3R 5306118 0.186405 7.29649 1.08216 intron mtd
chr3R 5307748 0.498542 13.6041 1.79275 intron mtd
chr3R 5308005 0.217513 12.7059 1.98976 5'-UTR
chr3R 5309347 0.236242 6.18964 1.34557 promoter-TSS mtd
chr3R 5310830 0.344993 3.23318 0.439648 intron mtd
chr3R 5315321 0.0354381 9.32792 1.27137 intron mtd
chr3R 5317023 0.970169 2.54558 1.39871 intron mtd
chr3R 5317931 0.257328 17.0302 2.57342 intron mtd
chr3R 5319757 0.0336104 13.0729 1.72496 intron mtd
chr3R 5322563 0.0825043 16.4395 0.692096 intron mtd
chr3R 5323941 0.438848 18.8508 1.1765 intron mtd
chr3R 5324785 0.167629 11.1414 0.286035 promoter-TSS mtd
chr3R 5326248 0.229652 12.9394 1.61164 promoter-TSS mtd
chr3R 5329356 0.0337801 2.17761 4.94923 intron mtd
chr3R 5329703 0.0476094 5.43002 5.94677 intron mtd
chr3R 5330541 0.315673 15.5531 4.01666 intron mtd
chr3R 5332116 0.0292315 18.986 3.22017 intron mtd
chr3R 5338181 0.0128927 7.46327 15.8334 intron mtd
chr3R 5343869 0.452135 16.8783 2.19464 intron mtd
chr3R 5346911 0.512803 20.2767 0.405699 intron mtd
chr3R 5350320 0.584424 20.3102 1.14159 intron mtd
chr3R 5350638 0.251819 16.7672 0.967762 promoter-TSS mtd
chr3R 5353039 0.461831 8.20036 2.72863 promoter-TSS mtd
chr3R 5354942 0.383504 2.86943 1.62137 TTS CG11999
chr3R 5358110 1.00342 7.60757 0.252214 promoter-TSS CG1161
chr3R 5361872 1.05314 21.0036 0.566053 promoter-TSS Prosbeta7
chr3R 5363521 0.396712 20.6893 1.43575 intron Cerk
chr3R 5365045 3.36299 15.3417 1.01966 intron Cerk
chr3R 5368124 0.642021 8.58532 1.0992 intron Cerk
chr3R 5371866 0.0221045 0.704877 1.2772 promoter-TSS Cerk
chr3R 5374874 0.272517 0.234938 1.09323 promoter-TSS RpII18
chr3R 5376897 0.956446 20.3481 0.130527 promoter-TSS hd
chr3R 5386001 0.154459 14.9931 3.58532 TTS 7B2
chr3R 5388206 0.366928 18.3868 3.10377 TTS CG14668
chr3R 5388513 0.713645 18.6327 1.68021 promoter-TSS CG14668
chr3R 5390323 0.435796 15.9003 1.77918 promoter-TSS CG14668
chr3R 5393160 0.769161 23.3287 0.681673 intron kkv
chr3R 5393693 0.662761 20.5265 1.48636 promoter-TSS kkv
chr3R 5394046 0.349159 8.11422 0.272389 promoter-TSS CG1172
chr3R 5403016 0.116321 16.7427 1.34507 5'-UTR
chr3R 5406347 1.23568 8.67019 3.31631 intron CG2663
chr3R 5412791 0.880003 15.8491 1.2042 TTS CG2663
chr3R 5414035 0.0314255 20.2222 1.16318 Intergenic CG14669
chr3R 5414564 0.00601491 20.7141 0.801521 promoter-TSS CG14669
chr3R 5422341 7.70347 9.51542 3.31165 promoter-TSS CG14669
chr3R 5430746 0.342059 16.1436 0.923599 intron CG12147
chr3R 5432715 0.590733 18.2249 0.114664 intron CG12147
chr3R 5433662 0.260631 16.3876 1.44279 intron CG12147
chr3R 5437691 0.697217 6.2714 0.381791 intron CG12147
chr3R 5438513 3.63383 7.4695 0.989969 intron CG12147
chr3R 5438940 2.71859 5.19424 6.23708 intron CG12147
chr3R 5444988 0.0941286 15.7637 1.64585 intron CG12147
chr3R 5458539 0.699621 7.99418 0.698607 intron CG12147
chr3R 5463538 1.00736 11.9276 3.27477 TTS PEK
chr3R 5464610 0.182287 9.97315 0.91978 promoter-TSS PEK
chr3R 5467343 0.176652 1.52095 3.13352 promoter-TSS PEK
chr3R 5470789 0.813216 2.27544 0.79978 promoter-TSS RpL35A
chr3R 5474674 0.0572702 1.03745 0.802969 promoter-TSS Snr1
chr3R 5483842 0.206956 7.03468 0.486116 promoter-TSS HDAC3
chr3R 5485653 0.245258 2.9031 0.520583 promoter-TSS ksr
chr3R 5502820 1.28467 8.45103 1.55186 TTS CG31550
chr3R 5504096 0.422074 15.7307 2.77474 promoter-TSS NKCC
chr3R 5507297 1.21104 20.6014 0.214408 Intergenic NKCC
chr3R 5508287 0.437413 21.2419 0.356831 Intergenic NKCC
chr3R 5516313 0.470514 10.1861 0.73438 TTS NKCC
chr3R 5517351 0.91771 20.6186 1.67335 promoter-TSS Itp-r83A
chr3R 5520806 0.0974498 18.2653 0.836745 5'-UTR
chr3R 5523211 0.405231 15.9808 2.60833 intron CG43845
chr3R 5523494 0.167195 6.17706 5.16248 promoter-TSS CG43845
chr3R 5525028 0.247121 17.4867 1.2239 promoter-TSS Nmdar1
chr3R 5547622 0.427429 7.00695 0.43112 intron Nmdar1
chr3R 5550577 0.213219 8.97734 0.908448 TTS CG2519
chr3R 5554457 0.839861 10.4866 0.738072 promoter-TSS mia
chr3R 5554902 0.26502 14.1131 0.497167 promoter-TSS Pcmt
chr3R 5563643 0.45161 6.40401 0.245336 promoter-TSS Snm1
chr3R 5564973 0.315675 3.57154 1.2524 promoter-TSS Pi4KIIalpha
chr3R 5568770 0.699842 4.57629 1.61767 promoter-TSS CG12746
chr3R 5571078 1.42825 9.22587 1.72693 promoter-TSS Rheb
chr3R 5573467 0.260631 12.5396 0.306266 promoter-TSS CRMP
chr3R 5573978 0.195586 14.1037 1.0325 intron CRMP
chr3R 5575924 0.35315 13.54 0.606021 intron CRMP
chr3R 5588223 0.692064 1.77556 0.390964 exon CRMP
chr3R 5591945 0.204181 1.86505 1.04865 promoter-TSS CG2926
chr3R 5595314 0.554606 15.954 1.15423 promoter-TSS Vha26
chr3R 5600448 0.432914 4.26917 1.53773 TTS snoRNA:Psi28S-3385b
chr3R 5600908 0.571613 4.3706 1.06434 promoter-TSS kra
chr3R 5606662 0.416022 9.6054 2.15078 promoter-TSS kra
chr3R 5611663 1.1443 19.9938 0.512644 promoter-TSS asl
chr3R 5612380 0.464451 11.602 0.670535 intron Rga
chr3R 5612760 0.491223 6.58253 1.5207 promoter-TSS Rga
chr3R 5617743 1.5527 10.3041 0.424757 promoter-TSS Rga
chr3R 5620139 0.396032 9.5743 2.43141 intron asRNA:CR46135
chr3R 5620883 0.800841 9.54993 1.01507 intron CG2911
chr3R 5623384 0.645199 6.42065 0.378397 intron CG2911
chr3R 5624154 0.590083 3.47688 1.75946 promoter-TSS CG2911
chr3R 5625853 0.2799 12.2635 0.596972 promoter-TSS CG2911
chr3R 5626329 0.24774 12.9768 1.02735 TTS snoRNA:Me28S-U2134a
chr3R 5626839 0.234672 14.4849 0.786705 TTS snoRNA:Me28S-U2134a
chr3R 5630258 0.739934 17.3289 0.933795 TTS CG31551
chr3R 5631978 8.7441 10.635 0.608696 exon CG31549
chr3R 5632452 2.58808 6.11707 2.52336 promoter-TSS CG31549
chr3R 5633561 0.59962 9.73704 1.98987 TTS CG31549
chr3R 5637150 0.304609 9.71633 2.75896 promoter-TSS CG12171
chr3R 5638365 0.591938 7.79509 0.605516 promoter-TSS CG12170
chr3R 5638639 0.358107 8.20257 0.740129 TTS CG12170
chr3R 5639003 1.74244 9.04283 0.347823 TTS CG12170
chr3R 5646515 0.384089 14.2886 0.527479 TTS CG12170
chr3R 5648552 0.379878 5.57868 0.974212 intron MTA1-like
chr3R 5654938 0.309336 4.57965 0.24974 promoter-TSS MTA1-like
chr3R 5659666 0.811196 6.16545 0.84952 promoter-TSS elm
chr3R 5669483 0.491004 0.210083 0.36656 promoter-TSS asRNA:CR44093
chr3R 5670795 0.336024 15.0373 1.21883 promoter-TSS Xe7
chr3R 5672088 1.54032 15.4338 0.990449 intron Atg17
chr3R 5672723 0.350963 16.4367 2.05027 intron Atg17
chr3R 5680444 0.635447 10.1451 0.541523 5'-UTR
chr3R 5683506 2.02789 17.1537 0.325452 TTS Rab23
chr3R 5684839 0.653324 19.5361 1.88892 intron Rab23
chr3R 5685634 0.218655 16.6227 2.84323 intron Rab23
chr3R 5686179 0.104664 15.213 2.19914 promoter-TSS Rab23
chr3R 5691384 0.118343 16.1223 2.25247 promoter-TSS plx
chr3R 5694624 2.12465 15.9568 2.41814 TTS CG2104
chr3R 5696521 0.292199 18.198 1.32401 intron CG2104
chr3R 5699926 0.148245 16.2934 0.602695 intron CG2104
chr3R 5701426 0.528757 15.9101 1.38814 intron plx
chr3R 5702174 0.379513 17.7518 0.755793 intron plx
chr3R 5703079 0.455891 12.4942 0.393379 promoter-TSS plx
chr3R 5703737 0.585235 3.26137 2.17446 intron plx
chr3R 5705414 0.603779 15.7721 2.50387 intron plx
chr3R 5705620 5.66406 14.0907 2.30701 intron plx
chr3R 5705933 1.98213 11.4299 2.17061 intron plx
chr3R 5711654 2.40497 13.7148 0.417088 promoter-TSS plx
chr3R 5716894 1.03879 12.4187 2.3423 exon plx
chr3R 5731256 1.48261 20.3402 0.283589 promoter-TSS cas
chr3R 5733424 1.32008 7.82958 1.40601 Intergenic CG1239
chr3R 5736553 8.30496 4.94967 1.43626 promoter-TSS CG1239
chr3R 5742582 0.51212 0.514213 0.648329 promoter-TSS CG1236
chr3R 5754856 9.33631 0.0122266 0.575013 promoter-TSS Madm
chr3R 5758882 0.239955 7.12148 0.795998 promoter-TSS CG2091
chr3R 5770923 0.572137 17.9767 1.78803 TTS Sec8
chr3R 5772381 1.25053 19.6883 2.18382 intron CG2082
chr3R 5772665 3.15459 14.798 2.78869 promoter-TSS CG2082
chr3R 5777710 0.172704 12.7833 1.79997 promoter-TSS CG2082
chr3R 5779143 0.196035 1.96196 3.67403 promoter-TSS CG2082
chr3R 5781876 0.364565 20.497 1.00102 promoter-TSS jagn
chr3R 5782244 0.448686 16.7413 1.30966 promoter-TSS kat-60L1
chr3R 5789260 0.108071 0.730285 1.15324 promoter-TSS kat-60L1
chr3R 5791741 0.544463 2.53298 0.690082 promoter-TSS Hat1
chr3R 5794525 0.599429 6.11763 0.995016 promoter-TSS CG1218
chr3R 5802297 0.117803 19.5795 1.02217 promoter-TSS CG10979
chr3R 5803953 0.151361 22.8213 0.237834 promoter-TSS CG11000
chr3R 5804197 0.0389645 21.0741 0.7559 intron CG11000
chr3R 5812693 0.910032 10.2137 0.860632 intron CG11000
chr3R 5813477 8.02737 2.33295 2.71032 promoter-TSS CG42675
chr3R 5814818 1.73484 5.51456 2.64643 promoter-TSS CG42675
chr3R 5815061 1.76698 8.39228 0.572844 5'-UTR
chr3R 5821348 0.289588 0.498078 1.02431 5'-UTR
chr3R 5823206 10.0166 9.69703 2.10172 promoter-TSS Hpr1
chr3R 5824662 0.252338 4.0286 0.991802 TTS CG46303
chr3R 5831547 0.859789 6.62826 2.53756 promoter-TSS dgrn
chr3R 5834115 7.82906 5.45042 5.70026 promoter-TSS CG1208
chr3R 5841112 0.619988 10.4237 0.487771 promoter-TSS CG1208
chr3R 5843557 1.29488 7.84405 1.09766 promoter-TSS CG1213
chr3R 5844483 0.193353 6.63926 1.86819 promoter-TSS CG1213
chr3R 5846858 6.80559 8.48715 0.814981 intron CG1213
chr3R 5847968 8.14501 7.11058 1.65146 promoter-TSS CG14676
chr3R 5848490 8.08563 6.63517 1.19831 exon CG14676
chr3R 5848942 8.74531 5.07221 1.19963 TTS CG14676
chr3R 5849404 8.60973 2.71339 1.84257 TTS CG14676
chr3R 5856427 0.0458127 3.83134 1.32196 TTS CG14676
chr3R 5861473 6.45024 9.94885 3.58972 promoter-TSS disp
chr3R 5862211 3.01645 8.32915 2.42907 promoter-TSS CG2017
chr3R 5868008 0.608558 16.2619 0.0427739 promoter-TSS CG2017
chr3R 5868847 0.120358 16.6106 0.245093 intron CG2017
chr3R 5871235 0.599505 8.92934 0.533317 intron CG2017
chr3R 5877320 0.746659 6.95565 1.62602 intron CG2017
chr3R 5877665 0.85765 2.70428 1.17932 exon lncRNA:CR45761
chr3R 5877920 0.411328 4.91228 0.410873 exon lncRNA:CR45761
chr3R 5882830 0.11612 12.9596 0.483903 exon lncRNA:CR45761
chr3R 5891602 0.251004 16.6216 1.24836 intron lncRNA:CR45761
chr3R 5891936 0.443652 17.91 0.100731 non-coding lncRNA:CR45761
chr3R 5896036 0.191152 11.2411 4.47861 TTS lncRNA:CR45761
chr3R 5896734 0.109138 10.8632 3.10004 intron lncRNA:CR45761
chr3R 5897957 0.319076 16.1183 0.959446 intron lncRNA:CR45761
chr3R 5900321 0.737522 12.5174 0.770931 intron lncRNA:CR45761
chr3R 5905891 0.957306 15.6459 1.71216 intron lncRNA:CR45761
chr3R 5906149 3.65967 11.8659 7.48441 intron lncRNA:CR45762
chr3R 5908245 0.673045 15.7567 4.08306 intron lncRNA:CR45762
chr3R 5908926 1.19883 17.8235 2.57832 intron lncRNA:CR45762
chr3R 5916940 0.0869246 16.3132 0.625719 intron lncRNA:CR45762
chr3R 5926315 0.203259 12.9165 1.16802 intron lncRNA:CR45762
chr3R 5927401 0.67448 12.7098 0.41813 intron lncRNA:CR45762
chr3R 5929228 0.412042 17.4268 0.295546 intron lncRNA:CR45762
chr3R 5933254 0.355608 13.0763 0.684641 intron lncRNA:CR45762
chr3R 5938239 0.523629 17.7714 0.511331 intron lncRNA:CR45762
chr3R 5940906 0.508017 14.4045 1.48612 intron side-III
chr3R 5941498 1.96775 14.808 2.16826 intron side-III
chr3R 5941993 2.81019 17.1144 0.552626 intron side-III
chr3R 5944624 0.244312 16.0836 0.997271 intron side-III
chr3R 5945441 0.325002 14.0084 0.681741 intron side-III
chr3R 5946728 0.34461 19.7075 0.0681358 intron side-III
chr3R 5950501 0.0591591 14.6776 1.55849 intron side-III
chr3R 5952377 0.246121 14.2305 0.723235 intron side-III
chr3R 5953513 0.0259288 18.4336 0.264783 intron side-III
chr3R 5958742 1.06457 6.58011 3.31399 intron side-III
chr3R 5959120 0.725656 12.3938 3.76172 intron side-III
chr3R 5959936 0.600209 20.6852 1.20334 5'-UTR
chr3R 5973465 0.115192 19.037 0.624667 promoter-TSS side-III
chr3R 5975002 0.592725 17.5132 0.720287 intron Obp83a
chr3R 5979827 0.305515 15.1641 0.229029 promoter-TSS Obp83a
chr3R 5981610 0.0752455 10.464 1.31488 Intergenic Obp83b
chr3R 5983207 0.380629 13.5093 0.44108 Intergenic Obp83b
chr3R 5983465 0.370266 15.5543 0.16563 Intergenic lncRNA:CR44927
chr3R 5987685 0.0252624 10.2628 12.3498 Intergenic lncRNA:CR44927
chr3R 5990165 0.280278 16.126 1.01515 Intergenic lncRNA:CR44927
chr3R 5994052 0.0509872 18.2053 1.76784 non-coding lncRNA:CR44927
chr3R 5994311 0.0271966 19.3984 0.724236 TTS lncRNA:CR44928
chr3R 5995252 0.17298 12.8855 1.81567 TTS lncRNA:CR44928
chr3R 5997567 0.468484 10.1616 1.93472 non-coding lncRNA:CR44928
chr3R 5998143 3.44665 16.2851 0.144533 Intergenic lncRNA:CR44928
chr3R 5998434 5.04837 14.7206 0.45722 Intergenic lncRNA:CR44928
chr3R 6000129 1.46964 15.9791 0.747112 Intergenic lncRNA:CR44928
chr3R 6003236 0.674008 13.9668 0.97763 TTS lncRNA:CR44928
chr3R 6007734 0.299361 11.0856 1.33313 3'-UTR
chr3R 6008416 0.621552 11.661 0.449773 promoter-TSS Rm62
chr3R 6008884 0.267439 8.6916 2.63724 promoter-TSS Rm62
chr3R 6009760 0.32305 15.3393 3.42663 promoter-TSS Rm62
chr3R 6013799 0.728093 10.9702 3.48869 TTS Rm62
chr3R 6024726 0.673816 7.52259 11.8757 Intergenic CG10280
chr3R 6029354 0.187057 4.75743 1.9854 Intergenic CG11459
chr3R 6034376 0.0534555 8.71004 1.87286 Intergenic CG11459
chr3R 6034662 0.334761 12.4721 1.35152 Intergenic lncRNA:CR46221
chr3R 6035522 0.364641 14.7814 0.427758 Intergenic lncRNA:CR46221
chr3R 6035739 0.359549 13.615 0.56608 Intergenic lncRNA:CR46221
chr3R 6038516 0.342019 13.3831 0.539282 Intergenic lncRNA:CR46221
chr3R 6041192 0.368145 11.9931 0.948459 promoter-TSS lncRNA:CR46221
chr3R 6041401 0.115888 12.7851 1.61616 Intergenic lncRNA:CR46221
chr3R 6042513 0.644666 12.3816 0.687098 Intergenic lncRNA:CR46221
chr3R 6048348 0.242327 7.89383 4.999 Intergenic lncRNA:CR46221
chr3R 6050148 0.173355 9.76368 1.76801 Intergenic lncRNA:CR44921
chr3R 6050611 1.52997 14.5449 0.323431 Intergenic lncRNA:CR44921
chr3R 6050980 0.935573 13.1219 1.44447 Intergenic lncRNA:CR44921
chr3R 6051346 0.870486 10.2229 1.61039 Intergenic lncRNA:CR44921
chr3R 6051690 1.38562 4.15629 1.70515 Intergenic lncRNA:CR44921
chr3R 6061295 0.259675 9.08622 12.2812 Intergenic lncRNA:CR44921
chr3R 6065407 0.194373 15.8247 1.40431 Intergenic CG15580
chr3R 6066625 0.649843 9.19747 1.21294 Intergenic CG15580
chr3R 6067136 0.682583 7.36398 1.87007 Intergenic CG15580
chr3R 6068816 0.572583 12.6467 0.882748 Intergenic CG15580
chr3R 6071036 0.160912 9.69426 0.422055 Intergenic Or83c
chr3R 6072686 0.298615 6.09271 5.52761 Intergenic Or83c
chr3R 6079360 0.78832 16.0602 0.263447 Intergenic Or83c
chr3R 6079652 0.756899 16.8178 0.213538 Intergenic Or83c
chr3R 6082424 0.142086 20.0987 0.732506 Intergenic Or83c
chr3R 6087897 0.296228 12.2725 0.712861 Intergenic Or83c
chr3R 6092085 1.20955 9.16626 0.240516 TTS Or83c
chr3R 6095460 0.437475 17.1017 1.22522 TTS Gasp
chr3R 6095769 0.267461 15.0301 0.907826 intron Gasp
chr3R 6096812 0.298025 4.07665 2.18898 intron Gasp
chr3R 6097234 0.103525 1.71335 1.62865 intron Gasp
chr3R 6097471 0.570346 2.23478 1.39387 intron Gasp
chr3R 6098430 0.263694 5.69395 0.97614 intron Gasp
chr3R 6100986 0.187972 19.6456 0.465119 intron Gasp
chr3R 6102638 0.0231274 10.6716 3.10892 promoter-TSS Gasp
chr3R 6102842 0.124921 10.9839 2.81358 intron Gasp
chr3R 6106224 0.308202 19.6888 1.07604 intron Gasp
chr3R 6106704 0.221395 19.9308 1.58125 Intergenic lncRNA:CR44929
chr3R 6107830 0.286945 12.3156 0.333233 Intergenic Obp83cd
chr3R 6112577 0.678969 19.3783 1.26755 promoter-TSS Obp83cd
chr3R 6112805 0.618989 20.5796 0.846704 promoter-TSS Obp83g
chr3R 6115797 0.0425549 11.8411 0.894855 promoter-TSS Obp83g
chr3R 6116558 0.402586 9.68578 0.457072 Intergenic Obp83g
chr3R 6117053 0.195473 5.59154 1.16873 Intergenic Obp83g
chr3R 6118268 0.246171 14.087 2.02314 Intergenic Obp83g
chr3R 6119756 0.244471 5.74131 0.18362 Intergenic Vha14-2
chr3R 6120852 0.0395293 12.638 1.24896 Intergenic Vha14-2
chr3R 6124312 1.51676 14.7277 6.28191 Intergenic Vha14-2
chr3R 6126766 0.232984 5.97303 2.42593 TTS Vha14-2
chr3R 6129630 0.0848346 11.8679 1.73608 TTS lncRNA:CR43486
chr3R 6132577 0.346479 17.3912 0.353711 Intergenic lncRNA:CR43487
chr3R 6137030 0.0848335 8.81043 5.69737 Intergenic lncRNA:CR43487
chr3R 6141261 1.99379 18.4097 0.442091 Intergenic lncRNA:CR43487
chr3R 6141922 1.66365 15.3191 1.63864 Intergenic lncRNA:CR43487
chr3R 6149847 0.430569 18.4189 1.09901 Intergenic lncRNA:CR43487
chr3R 6151242 0.296985 6.70458 1.0809 TTS CG31559
chr3R 6151943 1.49887 14.6683 1.05837 intron CG31559
chr3R 6155324 0.456148 13.1797 1.75224 intron CG31559
chr3R 6156681 0.422166 15.9065 1.34663 intron CG31559
chr3R 6157304 0.503236 20.1323 0.765329 exon CG31559
chr3R 6168743 0.174407 10.8083 0.844306 promoter-TSS CG31559
chr3R 6169318 0.524344 11.9706 0.980968 exon CG1077
chr3R 6170976 0.90166 0.254473 3.96497 exon CG1077
chr3R 6177276 7.75201 2.28156 4.07096 TTS Osi1
chr3R 6181902 7.72606 3.93141 3.74427 Intergenic Osi1
chr3R 6182849 0.00657483 10.7473 5.26246 Intergenic NPFR
chr3R 6183525 0.481403 7.70095 1.09052 Intergenic NPFR
chr3R 6187342 0.752278 19.618 0.929703 Intergenic NPFR
chr3R 6190794 0.862278 13.6953 1.32046 promoter-TSS NPFR
chr3R 6196602 1.42295 5.25364 1.08254 intron NPFR
chr3R 6197088 1.07154 10.0453 1.44636 Intergenic Osi24
chr3R 6198846 0.494046 19.9698 2.63137 Intergenic Osi24
chr3R 6200413 1.13994 10.5704 0.521327 promoter-TSS Osi24
chr3R 6200758 0.594615 9.06506 1.89989 intron Osi24
chr3R 6201485 4.3893 9.71929 2.27698 intron Osi24
chr3R 6203193 1.11481 14.479 0.519424 intron Osi24
chr3R 6206194 5.48569 11.6144 1.1993 intron Osi24
chr3R 6206566 5.54055 10.7839 1.62371 exon Osi2
chr3R 6207202 1.14787 9.93673 0.864796 intron Osi2
chr3R 6208703 0.45761 7.00418 0.98085 3'-UTR
chr3R 6209044 0.339398 11.0898 1.42669 promoter-TSS Osi2
chr3R 6210402 0.779256 15.2266 3.22907 promoter-TSS Osi2
chr3R 6210726 0.472789 16.3149 4.59571 promoter-TSS Osi2
